Episode=2346, Win=29, Lose=8, WinRate=1.236673773987207%, Elapsed_time=0:08:02.543877
[[[2, 0, 0, 0, 0, 5], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 4], [4, 1, 0, 0, 0, 0]], True] : [-1.  0.  0.  0.  0.  0.]
[[[0, 3, 0, 1, 1, 4], [3, 1, 1, 1, 1, 1], [3, 3, 1, 1, 5, 5], [3, 3, 3, 3, 3, 5], [3, 3, 3, 3, 3, 3], [4, 3, 0, 3, 1, 0]], True] : [-1. -1.  0.  0.  0.  0.]
[[[1, 0, 0, 0, 3, 0], [0, 0, 0, 2, 3, 3], [0, 0, 0, 2, 2, 3], [2, 2, 0, 2, 2, 2], [2, 2, 2, 2, 2, 3], [1, 1, 2, 2, 3, 4]], True] : [5. 0. 0. 0. 0. 0.]
[[[0, 0, 0, 0, 3, 0], [0, 0, 0, 2, 3, 3], [0, 0, 0, 2, 2, 3], [2, 2, 0, 2, 2, 2], [2, 2, 2, 2, 2, 3], [1, 1, 2, 2, 3, 4]], True] : [-1. -1.  0.  0.  0.  0.]
[[[1, 3, 1, 1, 3, 2], [1, 1, 1, 5, 5, 3], [1, 1, 1, 1, 5, 5], [2, 2, 5, 5, 5, 5], [2, 5, 5, 5, 5, 5], [4, 2, 5, 5, 5, 3]], True] : [-1.  0.  0.  0.  0.  0.]
[[[0, 3, 0, 0, 3, 2], [0, 0, 0, 5, 5, 3], [0, 0, 0, 0, 5, 5], [2, 2, 5, 5, 5, 5], [2, 5, 5, 5, 5, 5], [4, 2, 5, 5, 5, 3]], True] : [-1. -1.  0.  0.  0.  0.]
[[[1, 2, 0, 0, 0, 5], [2, 0, 0, 0, 0, 5], [0, 0, 0, 0, 2, 1], [0, 0, 0, 0, 2, 2], [0, 0, 0, 2, 2, 2], [3, 0, 2, 2, 2, 4]], True] : [-1.  0.  0.  0.  0.  0.]
[[[0, 2, 0, 0, 0, 5], [2, 0, 0, 0, 0, 5], [0, 0, 0, 0, 2, 1], [0, 0, 0, 0, 2, 2], [0, 0, 0, 2, 2, 2], [3, 0, 2, 2, 2, 4]], True] : [-1. -1.  0.  0.  0.  0.]
[[[1, 2, 2, 4, 4, 1], [4, 4, 2, 4, 4, 4], [4, 4, 4, 4, 4, 4], [5, 5, 4, 4, 4, 4], [5, 5, 5, 5, 4, 4], [4, 5, 5, 5, 5, 4]], True] : [-1.  0.  0.  0.  0.  0.]
[[[0, 2, 2, 4, 4, 1], [4, 4, 2, 4, 4, 4], [4, 4, 4, 4, 4, 4], [5, 5, 4, 4, 4, 4], [5, 5, 5, 5, 4, 4], [4, 5, 5, 5, 5, 4]], True] : [-1. -1.  0.  0.  0.  0.]
[[[1, 2, 2, 2, 0, 4], [2, 2, 2, 2, 2, 2], [1, 2, 2, 2, 2, 2], [0, 2, 2, 2, 2, 2], [0, 0, 2, 2, 2, 2], [3, 4, 1, 2, 0, 2]], True] : [-1.  0.  0.  0.  0.  0.]
[[[0, 2, 2, 2, 0, 4], [2, 2, 2, 2, 2, 2], [1, 2, 2, 2, 2, 2], [0, 2, 2, 2, 2, 2], [0, 0, 2, 2, 2, 2], [3, 4, 1, 2, 0, 2]], True] : [-1.   8.5  0.   0.   0.   0. ]
[[[1, 1, 1, 2, 3, 5], [1, 1, 1, 1, 2, 2], [1, 1, 1, 2, 2, 4], [1, 1, 1, 3, 3, 3], [1, 1, 1, 3, 3, 5], [5, 1, 1, 5, 5, 2]], True] : [-1.  0.  0.  0.  0.  0.]
[[[0, 0, 0, 2, 3, 5], [0, 0, 0, 0, 2, 2], [0, 0, 0, 2, 2, 4], [0, 0, 0, 3, 3, 3], [0, 0, 0, 3, 3, 5], [5, 0, 0, 5, 5, 2]], True] : [-1. -1.  0.  0.  0.  0.]
[[[1, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 1], [4, 4, 4, 4, 4, 1], [3, 4, 4, 4, 1, 2]], True] : [ 0.  0. -1.  0.  0.  0.]
[[[2, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 1], [4, 4, 4, 4, 4, 1], [3, 4, 4, 4, 1, 2]], True] : [-1.  0.  0.  0.  0.  0.]
[[[0, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 1], [4, 4, 4, 4, 4, 1], [3, 4, 4, 4, 1, 2]], True] : [-1. -1.  0.  0.  0.  0.]
[[[1, 3, 3, 3, 3, 4], [3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 4], [3, 3, 3, 4, 3, 4], [4, 4, 3, 4, 4, 4]], True] : [-1.  0.  0.  0.  0.  0.]
[[[0, 3, 3, 3, 3, 4], [3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 4], [3, 3, 3, 4, 3, 4], [4, 4, 3, 4, 4, 4]], True] : [-1. -1.  0.  0.  0.  0.]
[[[1, 4, 4, 2, 2, 5], [4, 4, 2, 2, 2, 2], [0, 3, 3, 2, 2, 2], [4, 3, 3, 3, 2, 3], [3, 3, 3, 3, 3, 5], [1, 3, 3, 3, 3, 3]], True] : [-1.  0.  0.  0.  0.  0.]
